Township,Date,Temp-Min,Temp-Max
T056R08W6,2011-02-16,-24.72,-17.94
T056R08W6,2011-02-17,-26.07,-18.55
T056R08W6,2011-02-18,-32.37,-16.61
T056R08W6,2011-02-19,-33.86,-4.95
T056R08W6,2011-02-20,-29.26,-0.33
T056R08W6,2011-02-21,-16.34,-2.00
T056R08W6,2011-02-22,-21.91,-11.66
T056R08W6,2011-02-23,-27.87,-18.84
T056R08W6,2011-02-24,-35.48,-18.79
T056R08W6,2011-02-25,-29.79,-7.32
T056R08W6,2011-02-26,-14.56,-5.08
T056R08W6,2011-02-27,-23.02,-11.60
T056R08W6,2011-02-28,-31.75,-22.72
T056R08W6,2011-03-01,-34.59,-18.88
T056R08W6,2011-03-02,-27.32,-18.74
T056R08W6,2011-03-03,-27.73,-10.51
T056R08W6,2011-03-04,-24.99,-9.02
T056R08W6,2011-03-05,-17.76,-10.17
T056R08W6,2011-03-06,-24.41,-6.71
T056R08W6,2011-03-07,-26.50,-2.95
T056R08W6,2011-03-08,-26.37,-0.42
T056R08W6,2011-03-09,-16.75,0.33
T056R08W6,2011-03-10,-16.63,-5.95
T056R08W6,2011-03-11,-21.07,-1.73
T056R08W6,2011-03-12,-16.37,2.71
T056R08W6,2011-03-13,-13.48,4.60
T056R08W6,2011-03-14,-7.26,6.00
T056R08W6,2011-03-15,-7.93,7.07
T056R08W6,2011-03-16,-8.37,3.01
T056R08W6,2011-03-17,-9.62,4.07
T056R08W6,2011-03-18,-16.72,3.81
T056R08W6,2011-03-19,-17.39,2.27
T056R08W6,2011-03-20,-8.39,-2.69
T056R08W6,2011-03-21,-8.51,-3.17
T056R08W6,2011-03-22,-7.39,5.00
T056R08W6,2011-03-23,-5.32,1.86
T056R08W6,2011-03-24,-5.65,-0.87
T056R08W6,2011-03-25,-7.07,2.51
T056R08W6,2011-03-26,-6.99,0.63
T056R08W6,2011-03-27,-6.85,1.24
T056R08W6,2011-03-28,-12.05,7.50
T056R08W6,2011-03-29,-11.46,7.66
T056R08W6,2011-03-30,-5.85,6.84
T056R08W6,2011-03-31,-3.66,6.67
T056R08W6,2011-04-01,-6.71,5.47
T056R08W6,2011-04-02,-4.13,2.96
T056R08W6,2011-04-03,-13.04,6.55
T056R08W6,2011-04-04,-6.16,6.37
T056R08W6,2011-04-05,,
T056R08W6,2011-04-06,-10.11,4.39
T056R08W6,2011-04-07,-10.89,3.98
T056R08W6,2011-04-08,-14.28,5.67
T056R08W6,2011-04-09,-3.31,8.81
T056R08W6,2011-04-10,-3.54,7.86
T056R08W6,2011-04-11,-4.02,5.88
T056R08W6,2011-04-12,-9.15,5.25
T056R08W6,2011-04-13,-11.10,6.25
T056R08W6,2011-04-14,-5.58,2.53
T056R08W6,2011-04-15,-10.46,3.03
T056R08W6,2011-04-16,-6.77,-0.74
T056R08W6,2011-04-17,-10.70,1.42
T056R08W6,2011-04-18,-15.98,2.78
T056R08W6,2011-04-19,-14.03,3.48
T056R08W6,2011-04-20,-10.70,4.31
T056R08W6,2011-04-21,-12.85,5.38
T056R08W6,2011-04-22,-11.40,6.75
T056R08W6,2011-04-23,-9.32,9.96
T056R08W6,2011-04-24,-9.29,13.07
T056R08W6,2011-04-25,-7.88,11.51
T056R08W6,2011-04-26,-1.86,10.42
T056R08W6,2011-04-27,-3.21,8.52
T056R08W6,2011-04-28,-7.29,8.72
T056R08W6,2011-04-29,-1.33,8.85
T056R08W6,2011-04-30,-3.08,8.77
T056R08W6,2011-05-01,-6.16,12.43
T056R08W6,2011-05-02,-3.03,12.01
T056R08W6,2011-05-03,-0.11,8.07
T056R08W6,2011-05-04,-1.87,10.43
T056R08W6,2011-05-05,-0.58,10.09
T056R08W6,2011-05-06,-2.25,10.07
T056R08W6,2011-05-07,-3.23,10.72
T056R08W6,2011-05-08,-0.74,9.59
T056R08W6,2011-05-09,-3.89,14.18
T056R08W6,2011-05-10,-0.38,15.29
T056R08W6,2011-05-11,2.21,16.80
T056R08W6,2011-05-12,1.69,9.64
T056R08W6,2011-05-13,-1.23,13.64
T056R08W6,2011-05-14,-0.26,20.25
T056R08W6,2011-05-15,-0.31,17.99
T056R08W6,2011-05-16,-0.05,19.81
T056R08W6,2011-05-17,2.59,13.91
T056R08W6,2011-05-18,-3.52,16.05
T056R08W6,2011-05-19,1.90,13.74
T056R08W6,2011-05-20,0.06,18.24
T056R08W6,2011-05-21,2.33,17.78
T056R08W6,2011-05-22,1.04,18.10
T056R08W6,2011-05-23,5.05,6.55
T056R08W6,2011-05-24,1.02,4.99
T056R08W6,2011-05-25,2.38,6.07
T056R08W6,2011-05-26,3.09,8.24
T056R08W6,2011-05-27,3.08,13.69
T056R08W6,2011-05-28,2.90,15.00
T056R08W6,2011-05-29,-1.22,15.20
T056R08W6,2011-05-30,0.80,13.51
T056R08W6,2011-05-31,-0.36,14.31
T056R08W6,2011-06-01,-1.33,13.33
T056R08W6,2011-06-02,0.87,15.87
T056R08W6,2011-06-03,2.23,6.66
T056R08W6,2011-06-04,-1.66,13.74
T056R08W6,2011-06-05,2.58,13.33
T056R08W6,2011-06-06,3.16,13.08
T056R08W6,2011-06-07,3.49,8.11
T056R08W6,2011-06-08,-0.12,10.50
T056R08W6,2011-06-09,0.06,17.34
T056R08W6,2011-06-10,3.64,13.53
T056R08W6,2011-06-11,-1.11,13.10
T056R08W6,2011-06-12,1.71,14.69
T056R08W6,2011-06-13,2.24,13.76
T056R08W6,2011-06-14,1.93,13.42
T056R08W6,2011-06-15,-0.27,11.08
T056R08W6,2011-06-16,1.10,7.37
T056R08W6,2011-06-17,3.79,11.08
T056R08W6,2011-06-18,2.71,11.92
T056R08W6,2011-06-19,3.96,9.64
T056R08W6,2011-06-20,3.10,13.26
T056R08W6,2011-06-21,2.34,16.10
T056R08W6,2011-06-22,3.96,20.08
T056R08W6,2011-06-23,6.02,12.40
T056R08W6,2011-06-24,1.24,6.09
T056R08W6,2011-06-25,-0.90,9.62
T056R08W6,2011-06-26,2.43,15.34
T056R08W6,2011-06-27,4.15,16.38
T056R08W6,2011-06-28,5.14,14.46
T056R08W6,2011-06-29,4.46,12.33
T056R08W6,2011-06-30,-0.98,11.09
T056R08W6,2011-07-01,-0.87,11.53
T056R08W6,2011-07-02,2.39,14.68
T056R08W6,2011-07-03,3.38,12.54
T056R08W6,2011-07-04,0.29,14.18
T056R08W6,2011-07-05,3.38,18.50
T056R08W6,2011-07-06,7.14,17.89
T056R08W6,2011-07-07,6.63,13.54
T056R08W6,2011-07-08,3.38,7.00
T056R08W6,2011-07-09,3.37,8.33
T056R08W6,2011-07-10,3.74,10.57
T056R08W6,2011-07-11,5.69,14.18
T056R08W6,2011-07-12,5.59,12.55
T056R08W6,2011-07-13,7.46,15.78
T056R08W6,2011-07-14,6.44,15.39
T056R08W6,2011-07-15,4.76,13.80
T056R08W6,2011-07-16,4.84,17.81
T056R08W6,2011-07-17,6.55,20.62
T056R08W6,2011-07-18,7.33,18.45
T056R08W6,2011-07-19,4.50,14.82
T056R08W6,2011-07-20,3.73,13.93
T056R08W6,2011-07-21,3.97,9.68
T056R08W6,2011-07-22,0.71,12.00
T056R08W6,2011-07-23,2.96,11.12
T056R08W6,2011-07-24,2.66,18.02
T056R08W6,2011-07-25,5.54,18.85
T056R08W6,2011-07-26,6.16,14.54
T056R08W6,2011-07-27,3.13,13.57
T056R08W6,2011-07-28,3.47,13.91
T056R08W6,2011-07-29,3.60,13.01
T056R08W6,2011-07-30,4.23,18.97
T056R08W6,2011-07-31,4.89,12.57
T056R08W6,2011-08-01,1.69,15.00
T056R08W6,2011-08-02,3.24,19.12
T056R08W6,2011-08-03,5.69,17.76
T056R08W6,2011-08-04,3.90,19.35
T056R08W6,2011-08-05,6.65,20.52
T056R08W6,2011-08-06,3.60,10.35
T056R08W6,2011-08-07,3.84,13.35
T056R08W6,2011-08-08,5.67,18.87
T056R08W6,2011-08-09,6.80,19.78
T056R08W6,2011-08-10,7.93,19.18
T056R08W6,2011-08-11,7.35,19.45
T056R08W6,2011-08-12,5.83,19.40
T056R08W6,2011-08-13,6.15,18.66
T056R08W6,2011-08-14,5.69,12.25
T056R08W6,2011-08-15,1.09,12.35
T056R08W6,2011-08-16,2.16,13.84
T056R08W6,2011-08-17,5.19,12.06
T056R08W6,2011-08-18,2.10,12.77
T056R08W6,2011-08-19,2.23,14.03
T056R08W6,2011-08-20,7.40,21.14
T056R08W6,2011-08-21,9.30,20.28
T056R08W6,2011-08-22,10.01,17.32
T056R08W6,2011-08-23,4.96,14.82
T056R08W6,2011-08-24,5.94,17.10
T056R08W6,2011-08-25,3.38,17.12
T056R08W6,2011-08-26,4.41,20.17
T056R08W6,2011-08-27,8.95,18.80
T056R08W6,2011-08-28,7.87,22.18
T056R08W6,2011-08-29,7.04,15.13
T056R08W6,2011-08-30,4.13,12.45
T056R08W6,2011-08-31,1.29,9.97
T056R08W6,2011-09-01,-1.38,11.75
T056R08W6,2011-09-02,0.09,9.12
T056R08W6,2011-09-03,-1.47,18.10
T056R08W6,2011-09-04,2.89,20.51
T056R08W6,2011-09-05,5.07,20.64
T056R08W6,2011-09-06,4.60,23.74
T056R08W6,2011-09-07,6.43,26.09
T056R08W6,2011-09-08,4.53,26.74
T056R08W6,2011-09-09,5.31,25.79
T056R08W6,2011-09-10,4.16,23.56
T056R08W6,2011-09-11,4.17,11.42
T056R08W6,2011-09-12,-1.82,14.45
T056R08W6,2011-09-13,-1.32,13.07
T056R08W6,2011-09-14,-0.47,18.98
T056R08W6,2011-09-15,2.15,17.08
T056R08W6,2011-09-16,3.66,12.95
T056R08W6,2011-09-17,-0.23,11.38
T056R08W6,2011-09-18,-5.33,12.78
T056R08W6,2011-09-19,1.03,12.63
T056R08W6,2011-09-20,-4.70,18.87
T056R08W6,2011-09-21,1.90,21.00
T056R08W6,2011-09-22,5.19,16.83
T056R08W6,2011-09-23,5.66,23.79
T056R08W6,2011-09-24,0.08,18.50
T056R08W6,2011-09-25,0.98,19.73
T056R08W6,2011-09-26,0.45,11.88
T056R08W6,2011-09-27,1.01,14.19
T056R08W6,2011-09-28,-3.90,10.81
T056R08W6,2011-09-29,-8.84,15.66
T056R08W6,2011-09-30,-1.33,15.00
T056R08W6,2011-10-01,-0.60,5.95
T056R08W6,2011-10-02,,
T056R08W6,2011-10-03,1.84,11.50
T056R08W6,2011-10-04,-1.27,11.02
T056R08W6,2011-10-05,,
T056R08W6,2011-10-06,1.56,11.90
T056R08W6,2011-10-07,-1.43,9.09
T056R08W6,2011-10-08,-6.91,11.81
T056R08W6,2011-10-09,-2.92,11.10
T056R08W6,2011-10-10,-4.93,9.39
T056R08W6,2011-10-11,-2.44,11.38
T056R08W6,2011-10-12,,
T056R08W6,2011-10-13,-5.04,6.85
T056R08W6,2011-10-14,-9.18,7.04
T056R08W6,2011-10-15,-7.25,8.08
T056R08W6,2011-10-16,-8.72,10.21
T056R08W6,2011-10-17,-4.87,10.95
T056R08W6,2011-10-18,-3.37,16.97
T056R08W6,2011-10-19,-1.44,14.10
T056R08W6,2011-10-20,,
T056R08W6,2011-10-21,-7.46,7.79
T056R08W6,2011-10-22,-3.60,8.52
T056R08W6,2011-10-23,-6.63,5.70
T056R08W6,2011-10-24,-4.95,5.11
T056R08W6,2011-10-25,-7.33,5.02
T056R08W6,2011-10-26,-7.83,5.72
T056R08W6,2011-10-27,-6.34,3.53
T056R08W6,2011-10-28,-7.27,7.26
T056R08W6,2011-10-29,-2.98,5.04
T056R08W6,2011-10-30,-3.70,9.04
T056R08W6,2011-10-31,-3.87,3.67
T056R08W6,2011-11-01,-5.11,4.04
T056R08W6,2011-11-02,-4.27,8.41
T056R08W6,2011-11-03,-8.58,2.43
T056R08W6,2011-11-04,-16.54,-0.53
T056R08W6,2011-11-05,-14.60,0.66
T056R08W6,2011-11-06,-15.70,0.52
T056R08W6,2011-11-07,-11.26,3.38
T056R08W6,2011-11-08,-10.57,1.80
T056R08W6,2011-11-09,-14.59,0.15
T056R08W6,2011-11-10,-3.65,7.56
T056R08W6,2011-11-11,-3.18,1.90
T056R08W6,2011-11-12,-7.31,-0.74
T056R08W6,2011-11-13,-7.15,0.09
T056R08W6,2011-11-14,-11.87,-4.79
T056R08W6,2011-11-15,-17.59,-4.57
T056R08W6,2011-11-16,-16.10,-3.88
T056R08W6,2011-11-17,-14.46,-7.67
T056R08W6,2011-11-18,-22.87,-15.52
T056R08W6,2011-11-19,-31.04,-12.99
T056R08W6,2011-11-20,-30.04,-8.68
T056R08W6,2011-11-21,-16.45,-2.38
T056R08W6,2011-11-22,-13.87,1.26
T056R08W6,2011-11-23,-11.27,-1.61
T056R08W6,2011-11-24,,
T056R08W6,2011-11-25,-14.05,-1.81
T056R08W6,2011-11-26,-10.97,7.19
T056R08W6,2011-11-27,,
T056R08W6,2011-11-28,-13.12,-0.48
T056R08W6,2011-11-29,-3.81,1.42
T056R08W6,2011-11-30,-8.85,-1.29
T056R08W6,2011-12-01,-6.31,5.23
T056R08W6,2011-12-02,-5.03,-0.64
T056R08W6,2011-12-03,-6.08,-0.04
T056R08W6,2011-12-04,-16.07,-4.22
T056R08W6,2011-12-05,-9.77,5.62
T056R08W6,2011-12-06,-5.35,4.60
T056R08W6,2011-12-07,-20.88,-6.37
T056R08W6,2011-12-08,-23.86,-3.52
T056R08W6,2011-12-09,-8.94,5.43
T056R08W6,2011-12-10,-8.21,1.57
T056R08W6,2011-12-11,-18.37,-3.99
T056R08W6,2011-12-12,,
T056R08W6,2011-12-13,-8.95,-1.12
T056R08W6,2011-12-14,-16.88,-4.93
T056R08W6,2011-12-15,-13.15,-3.28
T056R08W6,2011-12-16,-8.96,2.67
T056R08W6,2011-12-17,-4.25,6.16
T056R08W6,2011-12-18,-9.06,-1.63
T056R08W6,2011-12-19,,
T056R08W6,2011-12-20,-3.55,4.66
T056R08W6,2011-12-21,-10.78,-2.36
T056R08W6,2011-12-22,-7.46,2.05
T056R08W6,2011-12-23,-7.50,3.07
T056R08W6,2011-12-24,-5.06,5.73
T056R08W6,2011-12-25,-2.35,6.39
T056R08W6,2011-12-26,-8.30,0.74
T056R08W6,2011-12-27,-12.00,0.45
T056R08W6,2011-12-28,-11.65,2.38
T056R08W6,2011-12-29,-11.57,1.82
T056R08W6,2011-12-30,-13.92,-0.58
T056R08W6,2011-12-31,-18.81,-5.58
T056R08W6,2012-01-01,-22.22,-5.75
T056R08W6,2012-01-02,-6.03,9.83
T056R08W6,2012-01-03,-2.54,4.86
T056R08W6,2012-01-04,-0.23,7.90
T056R08W6,2012-01-05,-3.19,1.58
T056R08W6,2012-01-06,-6.82,-1.29
T056R08W6,2012-01-07,-5.25,3.04
T056R08W6,2012-01-08,0.19,6.25
T056R08W6,2012-01-09,-4.44,7.42
T056R08W6,2012-01-10,-17.40,-4.09
T056R08W6,2012-01-11,-17.37,-0.26
T056R08W6,2012-01-12,-8.61,3.51
T056R08W6,2012-01-13,-7.14,-0.81
T056R08W6,2012-01-14,-20.10,-6.36
T056R08W6,2012-01-15,-29.73,-20.69
T056R08W6,2012-01-16,-36.31,-27.38
T056R08W6,2012-01-17,-40.71,-29.27
T056R08W6,2012-01-18,-41.60,-21.31
T056R08W6,2012-01-19,-37.01,-18.07
T056R08W6,2012-01-20,-31.67,-15.20
T056R08W6,2012-01-21,-21.30,-7.58
T056R08W6,2012-01-22,-16.06,-2.35
T056R08W6,2012-01-23,-14.22,-0.26
T056R08W6,2012-01-24,-9.60,2.64
T056R08W6,2012-01-25,-7.75,3.18
T056R08W6,2012-01-26,-13.99,-4.00
T056R08W6,2012-01-27,-9.65,-4.08
T056R08W6,2012-01-28,-8.01,-2.11
T056R08W6,2012-01-29,-2.31,6.52
T056R08W6,2012-01-30,-3.56,3.35
T056R08W6,2012-01-31,-7.85,2.73
T056R08W6,2012-02-01,-10.04,0.35
T056R08W6,2012-02-02,-16.12,4.15
T056R08W6,2012-02-03,-8.30,10.14
T056R08W6,2012-02-04,-8.06,10.18
T056R08W6,2012-02-05,-11.99,-1.70
T056R08W6,2012-02-06,-13.55,0.21
T056R08W6,2012-02-07,-19.50,3.58
T056R08W6,2012-02-08,-19.00,4.42
T056R08W6,2012-02-09,-16.36,3.19
T056R08W6,2012-02-10,-18.16,-2.19
T056R08W6,2012-02-11,-19.98,7.51
T056R08W6,2012-02-12,-7.58,7.04
T056R08W6,2012-02-13,-10.22,0.34
T056R08W6,2012-02-14,-17.69,-0.56
T056R08W6,2012-02-15,-11.68,3.21
T056R08W6,2012-02-16,-13.13,2.23
T056R08W6,2012-02-17,-11.96,5.12
T056R08W6,2012-02-18,-9.30,0.55
T056R08W6,2012-02-19,-10.02,-1.30
T056R08W6,2012-02-20,-14.33,0.81
T056R08W6,2012-02-21,-4.05,2.12
T056R08W6,2012-02-22,-5.95,1.01
T056R08W6,2012-02-23,-9.82,-1.55
T056R08W6,2012-02-24,-17.21,-6.34
T056R08W6,2012-02-25,-17.81,-8.90
T056R08W6,2012-02-26,-22.08,-9.41
T056R08W6,2012-02-27,-19.61,-1.61
T056R08W6,2012-02-28,-14.57,1.04
T056R08W6,2012-02-29,-17.06,-2.54
T056R08W6,2012-03-01,-14.15,-3.62
T056R08W6,2012-03-02,-13.67,-0.10
T056R08W6,2012-03-03,-4.03,2.91
T056R08W6,2012-03-04,-7.39,-1.95
T056R08W6,2012-03-05,-12.28,-5.17
T056R08W6,2012-03-06,-20.20,-5.81
T056R08W6,2012-03-07,-6.96,2.86
T056R08W6,2012-03-08,-1.23,5.74
T056R08W6,2012-03-09,-1.25,6.95
T056R08W6,2012-03-10,-4.80,3.81
T056R08W6,2012-03-11,-8.66,2.09
T056R08W6,2012-03-12,-14.12,2.51
T056R08W6,2012-03-13,-8.66,-0.21
T056R08W6,2012-03-14,-11.30,0.87
T056R08W6,2012-03-15,-12.82,8.35
T056R08W6,2012-03-16,-6.08,4.05
T056R08W6,2012-03-17,-12.31,-0.49
T056R08W6,2012-03-18,-10.97,3.94
T056R08W6,2012-03-19,-15.87,-0.60
T056R08W6,2012-03-20,-16.35,1.60
T056R08W6,2012-03-21,-11.72,1.63
T056R08W6,2012-03-22,-18.89,-1.02
T056R08W6,2012-03-23,-13.27,0.01
T056R08W6,2012-03-24,-18.63,5.44
T056R08W6,2012-03-25,-14.23,7.96
T056R08W6,2012-03-26,-11.17,8.49
T056R08W6,2012-03-27,-8.72,8.97
T056R08W6,2012-03-28,-4.69,10.13
T056R08W6,2012-03-29,-4.65,8.68
T056R08W6,2012-03-30,-6.26,6.02
T056R08W6,2012-03-31,-8.19,4.93
T056R08W6,2012-04-01,-6.37,3.61
T056R08W6,2012-04-02,-10.82,8.41
T056R08W6,2012-04-03,-3.51,10.77
T056R08W6,2012-04-04,-6.18,3.94
T056R08W6,2012-04-05,-4.48,0.87
T056R08W6,2012-04-06,-7.45,3.14
T056R08W6,2012-04-07,-8.14,5.48
T056R08W6,2012-04-08,-6.07,8.11
T056R08W6,2012-04-09,-9.89,9.80
T056R08W6,2012-04-10,-4.74,14.98
T056R08W6,2012-04-11,-3.33,13.82
T056R08W6,2012-04-12,-2.21,6.84
T056R08W6,2012-04-13,-3.49,1.51
T056R08W6,2012-04-14,-6.77,-3.13
T056R08W6,2012-04-15,-10.32,4.88
T056R08W6,2012-04-16,-9.52,7.42
T056R08W6,2012-04-17,-4.20,6.72
T056R08W6,2012-04-18,-5.26,6.87
T056R08W6,2012-04-19,-5.64,10.43
T056R08W6,2012-04-20,-1.08,6.67
T056R08W6,2012-04-21,-4.34,10.61
T056R08W6,2012-04-22,-1.50,8.82
T056R08W6,2012-04-23,1.04,14.85
T056R08W6,2012-04-24,0.83,7.33
T056R08W6,2012-04-25,1.40,13.75
T056R08W6,2012-04-26,0.09,8.52
T056R08W6,2012-04-27,-2.17,8.18
T056R08W6,2012-04-28,-4.77,11.24
T056R08W6,2012-04-29,-0.58,9.79
T056R08W6,2012-04-30,-4.40,10.35
T056R08W6,2012-05-01,0.18,8.82
T056R08W6,2012-05-02,-0.13,7.40
T056R08W6,2012-05-03,-1.21,7.40
T056R08W6,2012-05-04,-1.61,9.39
T056R08W6,2012-05-05,-3.11,7.63
T056R08W6,2012-05-06,-3.51,12.56
T056R08W6,2012-05-07,0.01,16.39
T056R08W6,2012-05-08,0.96,17.33
T056R08W6,2012-05-09,-2.66,5.05
T056R08W6,2012-05-10,-3.35,4.72
T056R08W6,2012-05-11,0.24,10.02
T056R08W6,2012-05-12,2.68,16.60
T056R08W6,2012-05-13,-0.09,18.34
T056R08W6,2012-05-14,-0.66,18.84
T056R08W6,2012-05-15,3.03,18.41
T056R08W6,2012-05-16,-0.27,10.99
T056R08W6,2012-05-17,-5.85,6.22
T056R08W6,2012-05-18,-5.33,3.38
T056R08W6,2012-05-19,-6.68,11.30
T056R08W6,2012-05-20,-3.70,15.26
T056R08W6,2012-05-21,2.47,15.45
T056R08W6,2012-05-22,3.81,13.56
T056R08W6,2012-05-23,0.55,12.15
T056R08W6,2012-05-24,0.08,8.36
T056R08W6,2012-05-25,-0.37,12.38
T056R08W6,2012-05-26,-2.01,18.54
T056R08W6,2012-05-27,-1.51,19.48
T056R08W6,2012-05-28,0.00,19.64
T056R08W6,2012-05-29,0.16,10.28
T056R08W6,2012-05-30,2.55,13.58
T056R08W6,2012-05-31,1.01,14.92
T056R08W6,2012-06-01,-0.16,15.21
T056R08W6,2012-06-02,1.67,12.02
T056R08W6,2012-06-03,-1.76,12.76
T056R08W6,2012-06-04,1.15,16.54
T056R08W6,2012-06-05,6.66,12.56
T056R08W6,2012-06-06,2.82,9.27
T056R08W6,2012-06-07,2.20,13.52
T056R08W6,2012-06-08,0.84,12.65
T056R08W6,2012-06-09,4.75,9.27
T056R08W6,2012-06-10,5.11,10.71
T056R08W6,2012-06-11,2.40,18.02
T056R08W6,2012-06-12,4.00,15.43
T056R08W6,2012-06-13,3.51,13.44
T056R08W6,2012-06-14,1.08,10.83
T056R08W6,2012-06-15,0.77,13.52
T056R08W6,2012-06-16,3.15,17.07
T056R08W6,2012-06-17,3.97,13.38
T056R08W6,2012-06-18,3.30,10.53
T056R08W6,2012-06-19,3.53,10.83
T056R08W6,2012-06-20,3.49,15.71
T056R08W6,2012-06-21,2.34,19.90
T056R08W6,2012-06-22,4.53,18.52
T056R08W6,2012-06-23,8.54,14.38
T056R08W6,2012-06-24,6.12,17.39
T056R08W6,2012-06-25,3.91,18.05
T056R08W6,2012-06-26,2.57,16.30
T056R08W6,2012-06-27,6.35,13.22
T056R08W6,2012-06-28,3.64,19.56
T056R08W6,2012-06-29,7.55,16.76
T056R08W6,2012-06-30,4.92,18.11
T056R08W6,2012-07-01,6.81,16.28
T056R08W6,2012-07-02,3.74,15.42
T056R08W6,2012-07-03,3.60,8.04
T056R08W6,2012-07-04,3.35,11.32
T056R08W6,2012-07-05,0.78,17.00
T056R08W6,2012-07-06,3.21,21.58
T056R08W6,2012-07-07,4.12,24.33
T056R08W6,2012-07-08,6.90,27.04
T056R08W6,2012-07-09,8.26,28.27
T056R08W6,2012-07-10,7.46,25.42
T056R08W6,2012-07-11,6.68,25.40
T056R08W6,2012-07-12,7.59,25.14
T056R08W6,2012-07-13,7.90,25.66
T056R08W6,2012-07-14,6.70,27.14
T056R08W6,2012-07-15,10.19,13.97
T056R08W6,2012-07-16,11.96,23.52
T056R08W6,2012-07-17,8.63,25.13
T056R08W6,2012-07-18,8.34,20.23
T056R08W6,2012-07-19,8.17,20.70
T056R08W6,2012-07-20,6.98,24.37
T056R08W6,2012-07-21,10.06,20.83
T056R08W6,2012-07-22,5.29,22.09
T056R08W6,2012-07-23,6.72,11.44
T056R08W6,2012-07-24,9.15,17.37
T056R08W6,2012-07-25,7.22,20.27
T056R08W6,2012-07-26,6.76,20.83
T056R08W6,2012-07-27,6.83,21.26
T056R08W6,2012-07-28,6.33,20.68
T056R08W6,2012-07-29,7.90,21.39
T056R08W6,2012-07-30,6.11,19.92
T056R08W6,2012-07-31,6.26,18.24
T056R08W6,2012-08-01,2.62,15.91
T056R08W6,2012-08-02,4.47,12.65
T056R08W6,2012-08-03,6.39,19.48
T056R08W6,2012-08-04,11.07,24.13
T056R08W6,2012-08-05,9.93,26.30
T056R08W6,2012-08-06,9.24,27.85
T056R08W6,2012-08-07,9.41,23.22
T056R08W6,2012-08-08,6.09,23.24
T056R08W6,2012-08-09,5.97,19.77
T056R08W6,2012-08-10,4.05,18.43
T056R08W6,2012-08-11,3.99,18.83
T056R08W6,2012-08-12,4.65,21.74
T056R08W6,2012-08-13,5.72,18.83
T056R08W6,2012-08-14,4.77,10.27
T056R08W6,2012-08-15,2.17,19.14
T056R08W6,2012-08-16,2.93,22.28
T056R08W6,2012-08-17,5.03,26.32
T056R08W6,2012-08-18,6.58,28.92
T056R08W6,2012-08-19,7.96,26.64
T056R08W6,2012-08-20,7.92,25.88
T056R08W6,2012-08-21,7.72,23.05
T056R08W6,2012-08-22,4.39,18.42
T056R08W6,2012-08-23,2.53,13.92
T056R08W6,2012-08-24,0.25,12.70
T056R08W6,2012-08-25,5.69,16.50
T056R08W6,2012-08-26,2.22,21.39
T056R08W6,2012-08-27,6.65,24.07
T056R08W6,2012-08-28,4.70,19.85
T056R08W6,2012-08-29,3.72,14.37
T056R08W6,2012-08-30,3.03,9.78
T056R08W6,2012-08-31,2.58,13.10
T056R08W6,2012-09-01,2.44,11.99
T056R08W6,2012-09-02,5.69,13.81
T056R08W6,2012-09-03,4.46,12.51
T056R08W6,2012-09-04,2.23,14.25
T056R08W6,2012-09-05,2.58,14.15
T056R08W6,2012-09-06,1.01,20.95
