Township,Date,Air Temp. Avg. (°C),Air Temp. Min. (°C),Air Temp. Max. (°C),Precip. (mm),Precip. Accumulated (mm),Relative Humidity Avg. (%),Modelled Snow Water Equiv. (mm),Incoming Solar Rad. Total (MJ/m2),Wind Speed 10 m Avg. (km/h)
T056R08W6,2011-02-15,-11.25,-19.42,-3.08,,,75.32,,,
T056R08W6,2011-02-16,-21.33,-24.72,-17.94,,,74.04,,,
T056R08W6,2011-02-17,-22.31,-26.07,-18.55,,,72.40,,,
T056R08W6,2011-02-18,-24.49,-32.37,-16.61,,,67.28,,,
T056R08W6,2011-02-19,-19.405,-33.86,-4.95,,,63.93,,,
T056R08W6,2011-02-20,-14.795,-29.26,-0.33,,,62.52,,,
T056R08W6,2011-02-21,-9.17,-16.34,-2.00,,,63.28,,,
T056R08W6,2011-02-22,-16.785,-21.91,-11.66,,,69.67,,,
T056R08W6,2011-02-23,-23.355,-27.87,-18.84,,,66.90,,,
T056R08W6,2011-02-24,-27.135,-35.48,-18.79,,,61.79,,,
T056R08W6,2011-02-25,-18.555,-29.79,-7.32,,,63.34,,,
T056R08W6,2011-02-26,-9.82,-14.56,-5.08,,,74.45,,,
T056R08W6,2011-02-27,-17.31,-23.02,-11.60,,,75.96,,,
T056R08W6,2011-02-28,-27.235,-31.75,-22.72,,,67.96,,,
T056R08W6,2011-03-01,-26.735,-34.59,-18.88,,,66.53,,,
T056R08W6,2011-03-02,-23.03,-27.32,-18.74,,,72.66,,,
T056R08W6,2011-03-03,-19.12,-27.73,-10.51,,,74.37,,,
T056R08W6,2011-03-04,-17.005,-24.99,-9.02,,,74.32,,,
T056R08W6,2011-03-05,-13.965,-17.76,-10.17,,,75.95,,,
T056R08W6,2011-03-06,-15.56,-24.41,-6.71,,,73.98,,,
T056R08W6,2011-03-07,-14.725,-26.50,-2.95,,,69.32,,,
T056R08W6,2011-03-08,-13.395,-26.37,-0.42,,,66.42,,,
T056R08W6,2011-03-09,-8.21,-16.75,0.33,,,76.37,,,
T056R08W6,2011-03-10,-11.29,-16.63,-5.95,,,82.42,,,
T056R08W6,2011-03-11,-11.4,-21.07,-1.73,,,77.78,,,
T056R08W6,2011-03-12,-6.83,-16.37,2.71,,,74.10,,,
T056R08W6,2011-03-13,-4.44,-13.48,4.60,,,77.31,,,
T056R08W6,2011-03-14,-0.63,-7.26,6.00,,,67.10,,,
T056R08W6,2011-03-15,-0.43,-7.93,7.07,,,70.31,,,
T056R08W6,2011-03-16,-2.68,-8.37,3.01,,,83.69,,,
T056R08W6,2011-03-17,-2.775,-9.62,4.07,,,72.97,,,
T056R08W6,2011-03-18,-6.455,-16.72,3.81,,,65.13,,,
T056R08W6,2011-03-19,-7.56,-17.39,2.27,,,74.28,,,
T056R08W6,2011-03-20,-5.54,-8.39,-2.69,,,85.39,,,
T056R08W6,2011-03-21,-5.84,-8.51,-3.17,,,85.86,,,
T056R08W6,2011-03-22,-1.195,-7.39,5.00,,,80.21,,,
T056R08W6,2011-03-23,-1.73,-5.32,1.86,,,85.97,,,
T056R08W6,2011-03-24,-3.26,-5.65,-0.87,,,85.85,,,
T056R08W6,2011-03-25,-2.28,-7.07,2.51,,,81.05,,,
T056R08W6,2011-03-26,-3.18,-6.99,0.63,,,83.73,,,
T056R08W6,2011-03-27,-2.805,-6.85,1.24,,,84.70,,,
T056R08W6,2011-03-28,-2.275,-12.05,7.50,,,74.43,,,
T056R08W6,2011-03-29,-1.9,-11.46,7.66,,,68.92,,,
T056R08W6,2011-03-30,0.495,-5.85,6.84,,,70.70,,,
T056R08W6,2011-03-31,1.505,-3.66,6.67,,,63.90,,,
T056R08W6,2011-04-01,-0.62,-6.71,5.47,,,55.79,,,
T056R08W6,2011-04-02,-0.585,-4.13,2.96,,,75.55,,,
T056R08W6,2011-04-03,-3.245,-13.04,6.55,,,63.72,,,
T056R08W6,2011-04-04,0.105,-6.16,6.37,0.00,94.08,57.16,146.76,,
T056R08W6,2011-04-05,-1.3775,-8.14,5.38,,,65.75,,,
T056R08W6,2011-04-06,-2.86,-10.11,4.39,,,68.04,,,
T056R08W6,2011-04-07,-3.455,-10.89,3.98,,,71.53,,,
T056R08W6,2011-04-08,-4.305,-14.28,5.67,,,60.56,,,
T056R08W6,2011-04-09,2.75,-3.31,8.81,,,57.08,,,
T056R08W6,2011-04-10,2.16,-3.54,7.86,,,61.97,,,
T056R08W6,2011-04-11,0.93,-4.02,5.88,,,63.64,,,
T056R08W6,2011-04-12,-1.95,-9.15,5.25,,,56.34,,,
T056R08W6,2011-04-13,-2.425,-11.10,6.25,0.00,96.52,59.44,138.09,,
T056R08W6,2011-04-14,-1.525,-5.58,2.53,,,81.63,,,
T056R08W6,2011-04-15,-3.715,-10.46,3.03,,,80.94,,,
T056R08W6,2011-04-16,-3.755,-6.77,-0.74,,,86.53,,,
T056R08W6,2011-04-17,-4.64,-10.70,1.42,,,73.82,,,
T056R08W6,2011-04-18,-6.6,-15.98,2.78,,,65.10,,,
T056R08W6,2011-04-19,-5.275,-14.03,3.48,,,67.59,,,
T056R08W6,2011-04-20,-3.195,-10.70,4.31,,,59.31,,,
T056R08W6,2011-04-21,-3.735,-12.85,5.38,0.00,104.19,56.45,143.64,,
T056R08W6,2011-04-22,-2.325,-11.40,6.75,,,54.34,,,
T056R08W6,2011-04-23,0.32,-9.32,9.96,,,50.30,,,
T056R08W6,2011-04-24,1.89,-9.29,13.07,,,49.92,,,
T056R08W6,2011-04-25,1.815,-7.88,11.51,,,56.05,,,
T056R08W6,2011-04-26,4.28,-1.86,10.42,,,62.16,,,
T056R08W6,2011-04-27,2.655,-3.21,8.52,,,64.48,,,
T056R08W6,2011-04-28,0.715,-7.29,8.72,,,76.75,,,
T056R08W6,2011-04-29,3.76,-1.33,8.85,,,77.89,,,
T056R08W6,2011-04-30,2.845,-3.08,8.77,,,60.75,,,
T056R08W6,2011-05-01,3.135,-6.16,12.43,,,50.81,,,
T056R08W6,2011-05-02,4.49,-3.03,12.01,,,58.81,,,
T056R08W6,2011-05-03,3.98,-0.11,8.07,4.94,122.89,56.26,0.00,,
T056R08W6,2011-05-04,4.28,-1.87,10.43,0.00,122.89,52.57,0.00,,
T056R08W6,2011-05-05,4.755,-0.58,10.09,0.00,122.89,63.98,0.00,,
T056R08W6,2011-05-06,3.91,-2.25,10.07,,,60.64,,,
T056R08W6,2011-05-07,3.745,-3.23,10.72,0.00,122.99,69.60,0.00,,
T056R08W6,2011-05-08,4.425,-0.74,9.59,0.00,122.99,77.51,0.00,,
T056R08W6,2011-05-09,5.145,-3.89,14.18,0.00,122.99,62.79,0.00,,
T056R08W6,2011-05-10,7.455,-0.38,15.29,,,54.91,,,
T056R08W6,2011-05-11,9.505,2.21,16.80,0.00,123.00,56.49,0.00,,
T056R08W6,2011-05-12,5.665,1.69,9.64,,,62.74,,,
T056R08W6,2011-05-13,6.205,-1.23,13.64,0.00,123.87,55.38,0.00,,
T056R08W6,2011-05-14,9.995,-0.26,20.25,0.00,123.87,45.29,0.00,,
T056R08W6,2011-05-15,8.84,-0.31,17.99,0.00,123.87,34.49,0.00,,
T056R08W6,2011-05-16,9.88,-0.05,19.81,1.85,125.72,50.85,0.00,,
T056R08W6,2011-05-17,8.25,2.59,13.91,,,59.50,,,
T056R08W6,2011-05-18,6.265,-3.52,16.05,0.00,125.72,52.23,0.00,,
T056R08W6,2011-05-19,7.82,1.90,13.74,4.63,130.35,73.69,0.00,,
T056R08W6,2011-05-20,9.15,0.06,18.24,0.00,130.35,64.69,0.00,,
T056R08W6,2011-05-21,10.055,2.33,17.78,1.03,131.38,61.39,0.00,,
T056R08W6,2011-05-22,9.57,1.04,18.10,19.85,151.23,71.57,0.00,,
T056R08W6,2011-05-23,5.8,5.05,6.55,6.79,158.02,84.71,0.00,,
T056R08W6,2011-05-24,3.005,1.02,4.99,0.51,158.53,81.86,0.00,,
T056R08W6,2011-05-25,4.225,2.38,6.07,0.51,159.04,81.65,0.00,,
T056R08W6,2011-05-26,5.665,3.09,8.24,0.00,159.04,84.04,0.00,,
T056R08W6,2011-05-27,8.385,3.08,13.69,0.41,159.45,71.75,0.00,,
T056R08W6,2011-05-28,8.95,2.90,15.00,0.00,159.45,53.81,0.00,,
T056R08W6,2011-05-29,6.99,-1.22,15.20,0.21,159.66,56.51,0.00,,
T056R08W6,2011-05-30,7.155,0.80,13.51,0.21,159.87,69.30,0.00,,
T056R08W6,2011-05-31,6.975,-0.36,14.31,0.00,159.87,71.76,0.00,,
T056R08W6,2011-06-01,6.0,-1.33,13.33,0.63,160.50,67.82,0.00,,
T056R08W6,2011-06-02,8.37,0.87,15.87,3.17,163.67,65.91,0.00,,
T056R08W6,2011-06-03,4.445,2.23,6.66,6.44,170.11,86.39,0.00,,
T056R08W6,2011-06-04,6.04,-1.66,13.74,0.00,170.11,77.45,0.00,,
T056R08W6,2011-06-05,7.955,2.58,13.33,0.00,170.11,70.39,0.00,,
T056R08W6,2011-06-06,8.12,3.16,13.08,0.00,170.11,70.62,0.00,,
T056R08W6,2011-06-07,5.8,3.49,8.11,24.06,194.17,78.53,0.00,,
T056R08W6,2011-06-08,5.19,-0.12,10.50,0.21,194.38,74.73,0.00,,
T056R08W6,2011-06-09,8.7,0.06,17.34,0.84,195.22,57.37,0.00,,
T056R08W6,2011-06-10,8.585,3.64,13.53,5.70,200.92,61.39,0.00,,
T056R08W6,2011-06-11,5.995,-1.11,13.10,0.00,200.92,60.56,0.00,,
T056R08W6,2011-06-12,8.2,1.71,14.69,,,62.87,,,
T056R08W6,2011-06-13,8.0,2.24,13.76,2.11,208.94,70.13,0.00,,
T056R08W6,2011-06-14,7.675,1.93,13.42,0.00,208.94,54.50,0.00,,
T056R08W6,2011-06-15,5.405,-0.27,11.08,23.53,232.47,71.86,0.00,,
T056R08W6,2011-06-16,4.235,1.10,7.37,32.50,264.97,92.58,0.00,,
T056R08W6,2011-06-17,7.435,3.79,11.08,12.03,277.00,87.57,0.00,,
T056R08W6,2011-06-18,7.315,2.71,11.92,4.85,281.85,82.02,0.00,,
T056R08W6,2011-06-19,6.8,3.96,9.64,7.39,289.24,90.33,0.00,,
T056R08W6,2011-06-20,8.18,3.10,13.26,0.00,289.24,71.36,0.00,,
T056R08W6,2011-06-21,9.22,2.34,16.10,0.00,289.24,59.73,0.00,,
T056R08W6,2011-06-22,12.02,3.96,20.08,0.00,289.24,54.75,0.00,,
T056R08W6,2011-06-23,9.21,6.02,12.40,7.81,297.05,74.22,0.00,,
T056R08W6,2011-06-24,3.665,1.24,6.09,0.00,297.05,76.32,0.00,,
T056R08W6,2011-06-25,4.36,-0.90,9.62,3.59,300.64,76.25,0.00,,
T056R08W6,2011-06-26,8.885,2.43,15.34,1.06,301.70,73.28,0.00,,
T056R08W6,2011-06-27,10.265,4.15,16.38,0.00,301.70,67.65,0.00,,
T056R08W6,2011-06-28,9.8,5.14,14.46,1.48,303.18,72.99,0.00,,
T056R08W6,2011-06-29,8.395,4.46,12.33,1.90,305.08,72.62,0.00,,
T056R08W6,2011-06-30,5.055,-0.98,11.09,0.00,305.08,64.72,0.00,,
T056R08W6,2011-07-01,5.33,-0.87,11.53,0.00,305.08,55.00,0.00,,
T056R08W6,2011-07-02,8.535,2.39,14.68,0.00,305.08,60.86,0.00,,
T056R08W6,2011-07-03,7.96,3.38,12.54,0.00,305.08,69.66,0.00,,
T056R08W6,2011-07-04,7.235,0.29,14.18,0.00,305.08,52.03,0.00,,
T056R08W6,2011-07-05,10.94,3.38,18.50,0.00,305.08,56.51,0.00,,
T056R08W6,2011-07-06,12.515,7.14,17.89,16.67,321.75,65.18,0.00,,
T056R08W6,2011-07-07,10.085,6.63,13.54,32.20,353.95,82.93,0.00,,
T056R08W6,2011-07-08,5.19,3.38,7.00,17.05,371.00,91.74,0.00,,
T056R08W6,2011-07-09,5.85,3.37,8.33,1.89,372.89,88.67,0.00,,
T056R08W6,2011-07-10,7.155,3.74,10.57,1.89,374.78,87.54,0.00,,
T056R08W6,2011-07-11,9.935,5.69,14.18,7.95,382.73,83.42,0.00,,
T056R08W6,2011-07-12,9.07,5.59,12.55,22.73,405.46,85.68,0.00,,
T056R08W6,2011-07-13,11.62,7.46,15.78,4.17,409.63,86.91,0.00,,
T056R08W6,2011-07-14,10.915,6.44,15.39,3.41,413.04,70.60,0.00,,
T056R08W6,2011-07-15,9.28,4.76,13.80,0.00,413.04,70.88,0.00,,
T056R08W6,2011-07-16,11.325,4.84,17.81,1.89,414.93,69.44,0.00,,
T056R08W6,2011-07-17,13.585,6.55,20.62,0.00,414.93,66.01,0.00,,
T056R08W6,2011-07-18,12.89,7.33,18.45,3.03,417.96,70.67,0.00,,
T056R08W6,2011-07-19,9.66,4.50,14.82,0.00,417.96,67.71,0.00,,
T056R08W6,2011-07-20,8.83,3.73,13.93,0.00,417.96,56.81,0.00,,
T056R08W6,2011-07-21,6.825,3.97,9.68,1.52,419.48,77.22,0.00,,
T056R08W6,2011-07-22,6.355,0.71,12.00,3.79,423.27,76.91,0.00,,
T056R08W6,2011-07-23,7.04,2.96,11.12,0.38,423.65,82.95,0.00,,
T056R08W6,2011-07-24,10.34,2.66,18.02,0.00,423.65,65.00,0.00,,
T056R08W6,2011-07-25,12.195,5.54,18.85,0.00,423.65,60.19,0.00,,
T056R08W6,2011-07-26,10.35,6.16,14.54,0.00,423.65,61.67,0.00,,
T056R08W6,2011-07-27,8.35,3.13,13.57,0.00,423.65,60.59,0.00,,
T056R08W6,2011-07-28,8.69,3.47,13.91,3.03,426.68,65.81,0.00,,
T056R08W6,2011-07-29,8.305,3.60,13.01,0.00,426.68,64.39,0.00,,
T056R08W6,2011-07-30,11.6,4.23,18.97,8.71,435.39,66.55,0.00,,
T056R08W6,2011-07-31,8.73,4.89,12.57,3.79,439.18,76.57,0.00,,
T056R08W6,2011-08-01,8.345,1.69,15.00,0.00,439.18,57.08,0.00,,
T056R08W6,2011-08-02,11.18,3.24,19.12,0.00,439.18,56.00,0.00,,
T056R08W6,2011-08-03,11.725,5.69,17.76,0.00,439.18,61.22,0.00,,
T056R08W6,2011-08-04,11.625,3.90,19.35,0.00,439.18,62.01,0.00,,
T056R08W6,2011-08-05,13.585,6.65,20.52,5.49,444.67,71.90,0.00,,
T056R08W6,2011-08-06,6.975,3.60,10.35,5.30,449.97,77.76,0.00,,
T056R08W6,2011-08-07,8.595,3.84,13.35,5.88,455.85,84.67,0.00,,
T056R08W6,2011-08-08,12.27,5.67,18.87,0.00,455.85,66.89,0.00,,
T056R08W6,2011-08-09,13.29,6.80,19.78,0.00,455.85,66.25,0.00,,
T056R08W6,2011-08-10,13.555,7.93,19.18,3.53,459.38,73.85,0.00,,
T056R08W6,2011-08-11,13.4,7.35,19.45,0.00,459.38,74.13,0.00,,
T056R08W6,2011-08-12,12.615,5.83,19.40,0.00,459.38,68.72,0.00,,
T056R08W6,2011-08-13,12.405,6.15,18.66,0.00,459.38,72.11,0.00,,
T056R08W6,2011-08-14,8.97,5.69,12.25,4.90,464.28,81.64,0.00,,
T056R08W6,2011-08-15,6.72,1.09,12.35,0.00,464.28,69.50,0.00,,
T056R08W6,2011-08-16,8.0,2.16,13.84,0.00,464.28,66.37,0.00,,
T056R08W6,2011-08-17,8.625,5.19,12.06,0.00,464.28,77.24,0.00,,
T056R08W6,2011-08-18,7.435,2.10,12.77,0.00,464.28,70.09,0.00,,
T056R08W6,2011-08-19,8.13,2.23,14.03,0.00,464.28,65.53,0.00,,
T056R08W6,2011-08-20,14.27,7.40,21.14,0.00,464.28,59.23,0.00,,
T056R08W6,2011-08-21,14.79,9.30,20.28,0.00,464.28,60.60,0.00,,
T056R08W6,2011-08-22,13.665,10.01,17.32,8.63,472.91,59.92,0.00,,
T056R08W6,2011-08-23,9.89,4.96,14.82,0.00,472.91,64.69,0.00,,
T056R08W6,2011-08-24,11.52,5.94,17.10,0.39,473.30,65.86,0.00,,
T056R08W6,2011-08-25,10.25,3.38,17.12,0.00,473.30,57.65,0.00,,
T056R08W6,2011-08-26,12.29,4.41,20.17,0.00,473.30,64.22,0.00,,
T056R08W6,2011-08-27,13.875,8.95,18.80,0.00,473.30,70.76,0.00,,
T056R08W6,2011-08-28,15.025,7.87,22.18,0.00,473.30,60.86,0.00,,
T056R08W6,2011-08-29,11.085,7.04,15.13,0.00,473.30,78.63,0.00,,
T056R08W6,2011-08-30,8.29,4.13,12.45,0.59,473.89,67.95,0.00,,
T056R08W6,2011-08-31,5.63,1.29,9.97,0.20,474.09,74.62,0.00,,
T056R08W6,2011-09-01,5.185,-1.38,11.75,4.52,478.61,76.79,0.00,,
T056R08W6,2011-09-02,4.605,0.09,9.12,1.76,480.37,78.93,0.00,,
T056R08W6,2011-09-03,8.315,-1.47,18.10,0.50,480.87,68.00,0.00,,
T056R08W6,2011-09-04,11.7,2.89,20.51,0.00,480.87,64.98,0.00,,
T056R08W6,2011-09-05,12.855,5.07,20.64,0.00,480.87,61.35,0.00,,
T056R08W6,2011-09-06,14.17,4.60,23.74,0.00,480.87,60.74,0.00,,
T056R08W6,2011-09-07,16.26,6.43,26.09,0.00,480.87,59.54,0.00,,
T056R08W6,2011-09-08,15.635,4.53,26.74,0.00,480.87,60.80,0.00,,
T056R08W6,2011-09-09,15.55,5.31,25.79,0.00,480.87,58.66,0.00,,
T056R08W6,2011-09-10,13.86,4.16,23.56,0.00,480.87,59.09,0.00,,
T056R08W6,2011-09-11,7.795,4.17,11.42,0.00,480.87,77.06,0.00,,
T056R08W6,2011-09-12,6.315,-1.82,14.45,0.00,480.87,69.91,0.00,,
T056R08W6,2011-09-13,5.875,-1.32,13.07,0.00,480.87,76.53,0.00,,
T056R08W6,2011-09-14,9.255,-0.47,18.98,0.00,480.87,73.96,0.00,,
T056R08W6,2011-09-15,9.615,2.15,17.08,4.78,485.65,81.77,0.00,,
T056R08W6,2011-09-16,8.305,3.66,12.95,0.00,485.65,73.48,0.00,,
T056R08W6,2011-09-17,5.575,-0.23,11.38,0.00,485.65,65.36,0.00,,
T056R08W6,2011-09-18,3.725,-5.33,12.78,1.63,487.28,79.36,0.00,,
T056R08W6,2011-09-19,6.83,1.03,12.63,,,66.70,,,
T056R08W6,2011-09-20,7.085,-4.70,18.87,0.00,488.31,64.33,0.00,,
T056R08W6,2011-09-21,11.45,1.90,21.00,0.00,488.31,59.94,0.00,,
T056R08W6,2011-09-22,11.01,5.19,16.83,0.00,488.31,65.98,0.00,,
T056R08W6,2011-09-23,14.725,5.66,23.79,0.00,488.31,55.92,0.00,,
T056R08W6,2011-09-24,9.29,0.08,18.50,,,66.38,,,
T056R08W6,2011-09-25,10.355,0.98,19.73,0.00,488.31,74.30,0.00,,
T056R08W6,2011-09-26,6.165,0.45,11.88,,,63.39,,,
T056R08W6,2011-09-27,7.6,1.01,14.19,0.00,490.07,61.39,0.00,,
T056R08W6,2011-09-28,3.455,-3.90,10.81,0.00,490.07,55.26,0.00,,
T056R08W6,2011-09-29,3.41,-8.84,15.66,0.00,490.07,65.62,0.00,,
T056R08W6,2011-09-30,6.835,-1.33,15.00,0.00,490.07,60.52,0.00,,
T056R08W6,2011-10-01,2.675,-0.60,5.95,,,78.84,,,
T056R08W6,2011-10-02,4.6725,0.62,8.73,,,92.47,,,
T056R08W6,2011-10-03,6.67,1.84,11.50,,,90.48,,,
T056R08W6,2011-10-04,4.875,-1.27,11.02,,,90.60,,,
T056R08W6,2011-10-05,5.8025,0.15,11.46,,,86.44,,,
T056R08W6,2011-10-06,6.73,1.56,11.90,,,84.25,,,
T056R08W6,2011-10-07,3.83,-1.43,9.09,,,71.61,,,
T056R08W6,2011-10-08,2.45,-6.91,11.81,,,64.36,,,
T056R08W6,2011-10-09,4.09,-2.92,11.10,,,63.81,,,
T056R08W6,2011-10-10,2.23,-4.93,9.39,,,69.39,,,
T056R08W6,2011-10-11,4.47,-2.44,11.38,,,76.14,,,
T056R08W6,2011-10-12,2.6875,-3.74,9.12,,,82.92,,,
T056R08W6,2011-10-13,0.905,-5.04,6.85,,,63.54,,,
T056R08W6,2011-10-14,-1.07,-9.18,7.04,,,68.30,,,
T056R08W6,2011-10-15,0.415,-7.25,8.08,,,65.10,,,
T056R08W6,2011-10-16,0.745,-8.72,10.21,,,60.48,,,
T056R08W6,2011-10-17,3.04,-4.87,10.95,,,63.21,,,
T056R08W6,2011-10-18,6.8,-3.37,16.97,,,67.37,,,
T056R08W6,2011-10-19,6.33,-1.44,14.10,,,69.72,,,
T056R08W6,2011-10-20,3.2475,-4.45,10.95,,,72.48,,,
T056R08W6,2011-10-21,0.165,-7.46,7.79,,,79.09,,,
T056R08W6,2011-10-22,2.46,-3.60,8.52,,,72.39,,,
T056R08W6,2011-10-23,-0.465,-6.63,5.70,,,69.75,,,
T056R08W6,2011-10-24,0.08,-4.95,5.11,,,66.72,,,
T056R08W6,2011-10-25,-1.155,-7.33,5.02,,,65.10,,,
T056R08W6,2011-10-26,-1.055,-7.83,5.72,,,66.04,,,
T056R08W6,2011-10-27,-1.405,-6.34,3.53,,,57.99,,,
T056R08W6,2011-10-28,-0.005,-7.27,7.26,,,65.93,,,
T056R08W6,2011-10-29,1.03,-2.98,5.04,,,59.88,,,
T056R08W6,2011-10-30,2.67,-3.70,9.04,,,64.45,,,
T056R08W6,2011-10-31,-0.1,-3.87,3.67,,,60.43,,,
T056R08W6,2011-11-01,-0.535,-5.11,4.04,,,59.46,,,
T056R08W6,2011-11-02,2.07,-4.27,8.41,,,50.77,,,
T056R08W6,2011-11-03,-3.075,-8.58,2.43,,,68.78,,,
T056R08W6,2011-11-04,-8.535,-16.54,-0.53,,,73.19,,,
T056R08W6,2011-11-05,-6.97,-14.60,0.66,,,69.50,,,
T056R08W6,2011-11-06,-7.59,-15.70,0.52,,,74.54,,,
T056R08W6,2011-11-07,-3.94,-11.26,3.38,,,66.94,,,
T056R08W6,2011-11-08,-4.385,-10.57,1.80,,,60.46,,,
T056R08W6,2011-11-09,-7.22,-14.59,0.15,,,76.79,,,
T056R08W6,2011-11-10,1.955,-3.65,7.56,,,66.48,,,
T056R08W6,2011-11-11,-0.64,-3.18,1.90,,,87.13,,,
T056R08W6,2011-11-12,-4.025,-7.31,-0.74,,,89.15,,,
T056R08W6,2011-11-13,-3.53,-7.15,0.09,,,73.39,,,
T056R08W6,2011-11-14,-8.33,-11.87,-4.79,,,75.75,,,
T056R08W6,2011-11-15,-11.08,-17.59,-4.57,,,76.08,,,
T056R08W6,2011-11-16,-9.99,-16.10,-3.88,,,78.24,,,
T056R08W6,2011-11-17,-11.065,-14.46,-7.67,,,86.64,,,
T056R08W6,2011-11-18,-19.195,-22.87,-15.52,,,78.64,,,
T056R08W6,2011-11-19,-22.015,-31.04,-12.99,,,77.22,,,
T056R08W6,2011-11-20,-19.36,-30.04,-8.68,,,78.96,,,
T056R08W6,2011-11-21,-9.415,-16.45,-2.38,,,79.61,,,
T056R08W6,2011-11-22,-6.305,-13.87,1.26,,,86.76,,,
T056R08W6,2011-11-23,-6.44,-11.27,-1.61,,,93.12,,,
T056R08W6,2011-11-24,-7.19,-12.66,-1.71,,,85.21,,,
T056R08W6,2011-11-25,-7.93,-14.05,-1.81,,,70.91,,,
T056R08W6,2011-11-26,-1.89,-10.97,7.19,,,71.27,,,
T056R08W6,2011-11-27,-4.345,-12.05,3.36,,,76.86,,,
T056R08W6,2011-11-28,-6.8,-13.12,-0.48,,,80.25,,,
T056R08W6,2011-11-29,-1.195,-3.81,1.42,,,79.00,,,
T056R08W6,2011-11-30,-5.07,-8.85,-1.29,,,83.30,,,
T056R08W6,2011-12-01,-0.54,-6.31,5.23,,,59.77,,,
T056R08W6,2011-12-02,-2.835,-5.03,-0.64,,,66.93,,,
T056R08W6,2011-12-03,-3.06,-6.08,-0.04,,,80.59,,,
T056R08W6,2011-12-04,-10.145,-16.07,-4.22,,,89.63,,,
T056R08W6,2011-12-05,-2.075,-9.77,5.62,,,76.00,,,
T056R08W6,2011-12-06,-0.375,-5.35,4.60,,,75.74,,,
T056R08W6,2011-12-07,-13.625,-20.88,-6.37,,,76.28,,,
